FFT of Input Signal
Index,Real,Imag,Mag,Phase
351,-1.80816,-20.0564,20.1377,-1.66071
352,-1.75939,-19.9725,20.0499,-1.65866
353,-1.71129,-19.8896,19.9631,-1.65662
354,-1.66383,-19.8074,19.8772,-1.6546
355,-1.61701,-19.7261,19.7923,-1.65259
356,-1.57081,-19.6456,19.7083,-1.65058
357,-1.52522,-19.5659,19.6252,-1.64859
358,-1.48022,-19.4869,19.543,-1.64661
359,-1.4358,-19.4087,19.4617,-1.64464
360,-1.39196,-19.3312,19.3813,-1.64268
361,-1.34867,-19.2545,19.3017,-1.64073
362,-1.30594,-19.1785,19.2229,-1.63879
363,-1.26374,-19.1032,19.1449,-1.63685
364,-1.22206,-19.0286,19.0678,-1.63493
365,-1.1809,-18.9546,18.9914,-1.63302
366,-1.14025,-18.8814,18.9158,-1.63111
367,-1.10009,-18.8088,18.8409,-1.62922
368,-1.06041,-18.7368,18.7668,-1.62733
369,-1.02122,-18.6655,18.6934,-1.62545
370,-0.98249,-18.5948,18.6207,-1.62358
371,-0.944222,-18.5247,18.5487,-1.62172
372,-0.906404,-18.4552,18.4775,-1.61987
373,-0.869028,-18.3863,18.4068,-1.61803
374,-0.832087,-18.318,18.3369,-1.61619
375,-0.795572,-18.2503,18.2676,-1.61436
376,-0.759476,-18.1831,18.199,-1.61254
377,-0.723792,-18.1165,18.131,-1.61073
378,-0.688511,-18.0505,18.0636,-1.60892
379,-0.653628,-17.985,17.9968,-1.60712
380,-0.619135,-17.92,17.9307,-1.60533
381,-0.585025,-17.8555,17.8651,-1.60355
382,-0.551291,-17.7916,17.8002,-1.60177
383,-0.517929,-17.7282,17.7358,-1.6
384,-0.48493,-17.6653,17.6719,-1.59824
385,-0.45229,-17.6029,17.6087,-1.59648
386,-0.420002,-17.5409,17.5459,-1.59474
387,-0.38806,-17.4795,17.4838,-1.59299
388,-0.356459,-17.4185,17.4221,-1.59126
389,-0.325193,-17.358,17.361,-1.58953
390,-0.294256,-17.2979,17.3004,-1.58781
391,-0.263645,-17.2383,17.2403,-1.58609
392,-0.233352,-17.1792,17.1808,-1.58438
393,-0.203374,-17.1205,17.1217,-1.58267
394,-0.173705,-17.0622,17.0631,-1.58098
395,-0.14434,-17.0044,17.005,-1.57928
396,-0.115275,-16.9469,16.9473,-1.5776
397,-0.0865054,-16.8899,16.8902,-1.57592
398,-0.0580264,-16.8334,16.8335,-1.57424
399,-0.0298335,-16.7772,16.7772,-1.57257
400,-0.00192249,-16.7214,16.7214,-1.57091
401,0.0257109,-16.6661,16.6661,-1.56925
402,0.0530707,-16.6111,16.6112,-1.5676
403,0.0801611,-16.5565,16.5567,-1.56595
404,0.106986,-16.5023,16.5026,-1.56431
405,0.133549,-16.4484,16.449,-1.56268
406,0.159855,-16.395,16.3958,-1.56105
407,0.185906,-16.3419,16.343,-1.55942
408,0.211707,-16.2892,16.2906,-1.5578
409,0.237261,-16.2368,16.2386,-1.55618
410,0.262572,-16.1848,16.1869,-1.55457
411,0.287643,-16.1332,16.1357,-1.55297
412,0.312478,-16.0819,16.0849,-1.55137
413,0.337079,-16.0309,16.0344,-1.54977
414,0.36145,-15.9803,15.9844,-1.54818
415,0.385595,-15.93,15.9346,-1.5466
416,0.409516,-15.88,15.8853,-1.54501
417,0.433216,-15.8304,15.8363,-1.54344
418,0.456699,-15.7811,15.7877,-1.54186
419,0.479967,-15.7321,15.7394,-1.5403
420,0.503023,-15.6834,15.6915,-1.53873
421,0.52587,-15.6351,15.6439,-1.53717
422,0.548511,-15.587,15.5967,-1.53562
423,0.570949,-15.5393,15.5497,-1.53407
424,0.593186,-15.4918,15.5032,-1.53252
425,0.615224,-15.4447,15.4569,-1.53098
426,0.637068,-15.3978,15.411,-1.52945
427,0.658718,-15.3513,15.3654,-1.52791
428,0.680177,-15.305,15.3201,-1.52638
429,0.701449,-15.259,15.2751,-1.52486
430,0.722535,-15.2133,15.2305,-1.52334
431,0.743437,-15.1679,15.1861,-1.52182
432,0.764159,-15.1228,15.1421,-1.52031
433,0.784702,-15.0779,15.0983,-1.5188
434,0.805068,-15.0333,15.0549,-1.5173
435,0.82526,-14.989,15.0117,-1.51579
436,0.84528,-14.9449,14.9688,-1.5143
437,0.865131,-14.9011,14.9262,-1.5128
438,0.884813,-14.8576,14.8839,-1.51131
439,0.904329,-14.8143,14.8419,-1.50983
440,0.923681,-14.7713,14.8001,-1.50835
441,0.942872,-14.7285,14.7587,-1.50687
442,0.961903,-14.686,14.7175,-1.50539
443,0.980776,-14.6437,14.6765,-1.50392
444,0.999493,-14.6017,14.6358,-1.50245
445,1.01806,-14.5599,14.5954,-1.50099
446,1.03647,-14.5183,14.5553,-1.49953
447,1.05473,-14.477,14.5154,-1.49807
448,1.07284,-14.4359,14.4758,-1.49662
449,1.0908,-14.3951,14.4364,-1.49517
450,1.10862,-14.3545,14.3972,-1.49372
451,1.12629,-14.3141,14.3583,-1.49227
452,1.14383,-14.2739,14.3197,-1.49083
453,1.16122,-14.234,14.2813,-1.4894
454,1.17847,-14.1943,14.2431,-1.48796
455,1.19559,-14.1548,14.2052,-1.48653
